,0,5,20,model
thresholds,0.0,5.0,20.0,RAFT_chairs_no_mirror.pth
px_count,255401889.0,126195945.0,83171190.0,RAFT_chairs_no_mirror.pth
EPE_sum_msk,0.58,2.44,17.46,RAFT_chairs_no_mirror.pth
EPEu_sum_msk,0.39,1.67,12.38,RAFT_chairs_no_mirror.pth
EPEv_sum_msk,0.34,1.37,9.67,RAFT_chairs_no_mirror.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,RAFT_chairs_no_mirror.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,RAFT_chairs_no_mirror.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,RAFT_chairs_no_mirror.pth
Iv_sum_m1_msk,0.0,0.0,0.0,RAFT_chairs_no_mirror.pth
Iu_sum_m1_msk,0.0,0.0,0.0,RAFT_chairs_no_mirror.pth
