,0,5,20,model
thresholds,0.0,5.0,20.0,RAFT_chairs_no_mirror.pth_ev
px_count,255401889.0,126195945.0,83171190.0,RAFT_chairs_no_mirror.pth_ev
EPE_sum_msk,0.41,1.39,9.19,RAFT_chairs_no_mirror.pth_ev
EPEu_sum_msk,0.27,0.94,6.35,RAFT_chairs_no_mirror.pth_ev
EPEv_sum_msk,0.25,0.83,5.28,RAFT_chairs_no_mirror.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,RAFT_chairs_no_mirror.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,RAFT_chairs_no_mirror.pth_ev
I_L2_sum_m1_msk,0.34,1.21,5.46,RAFT_chairs_no_mirror.pth_ev
Iv_sum_m1_msk,0.2,0.72,3.43,RAFT_chairs_no_mirror.pth_ev
Iu_sum_m1_msk,0.24,0.85,3.49,RAFT_chairs_no_mirror.pth_ev
