,0,5,20,model
thresholds,0.0,5.0,20.0,RAFT_chairs_no_mirror.pth_ev
px_count,255401889.0,126195945.0,83171190.0,RAFT_chairs_no_mirror.pth_ev
EPE_sum_msk,0.63,2.69,18.34,RAFT_chairs_no_mirror.pth_ev
EPEu_sum_msk,0.43,1.84,12.92,RAFT_chairs_no_mirror.pth_ev
EPEv_sum_msk,0.37,1.56,10.21,RAFT_chairs_no_mirror.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,RAFT_chairs_no_mirror.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,RAFT_chairs_no_mirror.pth_ev
I_L2_sum_m1_msk,0.56,2.32,10.06,RAFT_chairs_no_mirror.pth_ev
Iv_sum_m1_msk,0.33,1.37,5.93,RAFT_chairs_no_mirror.pth_ev
Iu_sum_m1_msk,0.4,1.61,6.82,RAFT_chairs_no_mirror.pth_ev
