model,EPE,EPE_180,EPE_u,EPE_v,cos_sim,spatium,G_mag_u,G_mag_v,G_mag_L2,Iu_m1,Iv_m1,I_L2_m1
RAFT_chairs_no_mirror.pth_ev,1.4795305244121701,1.4795305244121701,1.0498598659178242,0.9926348028667271,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
RAFT_chairs_no_mirror.pth,1.4795305244121701,1.4795305244121701,1.0498598659178242,0.9926348028667271,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft-chairs-original-retrained.pth_ev,1.370676394123584,1.370676394123584,0.9394360639695079,0.958778999786824,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft-chairs-original-retrained.pth,1.370676394123584,1.370676394123584,0.9394360639695079,0.958778999786824,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft_mir_batch_8.pth_ev,1.4347194760218263,1.4347194760218263,0.9600521206520498,1.0210828606318683,74.36653309249878,1.9571183611289598,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft_mir_batch_8.pth,1.4347194760218263,1.4347194760218263,0.9600521206520498,1.0210828606318683,74.36653309249878,1.9571183611289598,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft_things_mir_batch5.pth_ev,1.0547759707085789,1.0547759707085789,0.7394036142583936,0.7196122184824199,74.03514952468872,1.4300765581196173,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft_things_mir_batch5.pth,1.0547759707085789,1.0547759707085789,0.7394036142583936,0.7196122184824199,74.03514952468872,1.4300765581196173,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft_things_original_param.pth_ev,1.1107754495963453,1.1107754495963453,0.7840382834095508,0.7484277705289424,74.06426593017578,1.4686209767488763,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
raft_things_original_param.pth,1.1107754495963453,1.1107754495963453,0.7840382834095508,0.7484277705289424,74.06426593017578,1.4686209767488763,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev,1.1394408668503164,1.1394408668503164,0.7941574023291469,0.7681893018297851,74.07193867111206,1.5492730397423728,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth,1.1394408668503164,1.1394408668503164,0.7941574023291469,0.7681893018297851,74.07193867111206,1.5492730397423728,5.445475524902344,5.445475524902344,7.7010654106736185,0.0,0.0,0.0
