,0,5,20,model
thresholds,0.0,5.0,20.0,raft-chairs-original-retrained.pth_ev
px_count,255401889.0,126195945.0,83171190.0,raft-chairs-original-retrained.pth_ev
EPE_sum_msk,0.42,1.35,8.89,raft-chairs-original-retrained.pth_ev
EPEu_sum_msk,0.27,0.91,6.2,raft-chairs-original-retrained.pth_ev
EPEv_sum_msk,0.26,0.8,5.02,raft-chairs-original-retrained.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,raft-chairs-original-retrained.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft-chairs-original-retrained.pth_ev
I_L2_sum_m1_msk,0.29,0.92,4.51,raft-chairs-original-retrained.pth_ev
Iv_sum_m1_msk,0.19,0.56,2.75,raft-chairs-original-retrained.pth_ev
Iu_sum_m1_msk,0.19,0.6,2.94,raft-chairs-original-retrained.pth_ev
