,0,5,20,model
thresholds,0.0,5.0,20.0,raft_mir_batch_8.pth
px_count,4220820.0,12448592.0,31704552.0,raft_mir_batch_8.pth
EPE_sum_msk,0.28,0.41,11.02,raft_mir_batch_8.pth
EPEu_sum_msk,0.18,0.26,7.38,raft_mir_batch_8.pth
EPEv_sum_msk,0.19,0.29,7.87,raft_mir_batch_8.pth
G_mag_L2_masked_sum,2.94,12.7,58.3,raft_mir_batch_8.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_mir_batch_8.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,raft_mir_batch_8.pth
Iv_sum_m1_msk,0.0,0.0,0.0,raft_mir_batch_8.pth
Iu_sum_m1_msk,0.0,0.0,0.0,raft_mir_batch_8.pth
