,0,5,20,model
thresholds,0.0,5.0,20.0,raft_mir_batch_8.pth
px_count,255401889.0,126195945.0,83171190.0,raft_mir_batch_8.pth
EPE_sum_msk,0.7,2.48,18.38,raft_mir_batch_8.pth
EPEu_sum_msk,0.47,1.71,13.14,raft_mir_batch_8.pth
EPEv_sum_msk,0.41,1.39,10.13,raft_mir_batch_8.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_mir_batch_8.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_mir_batch_8.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,raft_mir_batch_8.pth
Iv_sum_m1_msk,0.0,0.0,0.0,raft_mir_batch_8.pth
Iu_sum_m1_msk,0.0,0.0,0.0,raft_mir_batch_8.pth
