,0,5,20,model
thresholds,0.0,5.0,20.0,raft_mir_batch_8.pth_ev
px_count,255401889.0,126195945.0,83171190.0,raft_mir_batch_8.pth_ev
EPE_sum_msk,0.72,2.49,19.15,raft_mir_batch_8.pth_ev
EPEu_sum_msk,0.49,1.75,13.48,raft_mir_batch_8.pth_ev
EPEv_sum_msk,0.42,1.37,10.81,raft_mir_batch_8.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_mir_batch_8.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_mir_batch_8.pth_ev
I_L2_sum_m1_msk,0.53,1.73,7.66,raft_mir_batch_8.pth_ev
Iv_sum_m1_msk,0.32,1.08,4.77,raft_mir_batch_8.pth_ev
Iu_sum_m1_msk,0.36,1.11,5.01,raft_mir_batch_8.pth_ev
