,0,5,20,model
thresholds,0.0,5.0,20.0,raft_things_mir_batch5.pth_ev
px_count,255401889.0,126195945.0,83171190.0,raft_things_mir_batch5.pth_ev
EPE_sum_msk,0.24,0.92,5.87,raft_things_mir_batch5.pth_ev
EPEu_sum_msk,0.17,0.69,4.22,raft_things_mir_batch5.pth_ev
EPEv_sum_msk,0.13,0.43,3.1,raft_things_mir_batch5.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_things_mir_batch5.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_things_mir_batch5.pth_ev
I_L2_sum_m1_msk,0.18,0.65,2.86,raft_things_mir_batch5.pth_ev
Iv_sum_m1_msk,0.09,0.29,1.6,raft_things_mir_batch5.pth_ev
Iu_sum_m1_msk,0.13,0.5,1.96,raft_things_mir_batch5.pth_ev
