,0,5,20,model
thresholds,0.0,5.0,20.0,raft_things_mir_batch5.pth_ev
px_count,255401889.0,126195945.0,83171190.0,raft_things_mir_batch5.pth_ev
EPE_sum_msk,0.39,1.6,11.58,raft_things_mir_batch5.pth_ev
EPEu_sum_msk,0.29,1.18,8.26,raft_things_mir_batch5.pth_ev
EPEv_sum_msk,0.2,0.79,6.28,raft_things_mir_batch5.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_things_mir_batch5.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_things_mir_batch5.pth_ev
I_L2_sum_m1_msk,0.25,1.04,5.07,raft_things_mir_batch5.pth_ev
Iv_sum_m1_msk,0.12,0.46,2.61,raft_things_mir_batch5.pth_ev
Iu_sum_m1_msk,0.19,0.8,3.63,raft_things_mir_batch5.pth_ev
