,0,5,20,model
thresholds,0.0,5.0,20.0,raft_things_original_param.pth
px_count,4220820.0,12448592.0,31704552.0,raft_things_original_param.pth
EPE_sum_msk,0.15,0.25,8.33,raft_things_original_param.pth
EPEu_sum_msk,0.1,0.17,5.9,raft_things_original_param.pth
EPEv_sum_msk,0.09,0.16,5.63,raft_things_original_param.pth
G_mag_L2_masked_sum,2.94,12.7,58.3,raft_things_original_param.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_things_original_param.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
Iv_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
Iu_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
