,0,5,20,model
thresholds,0.0,5.0,20.0,raft_things_original_param.pth
px_count,255401889.0,126195945.0,83171190.0,raft_things_original_param.pth
EPE_sum_msk,0.25,0.99,5.86,raft_things_original_param.pth
EPEu_sum_msk,0.18,0.78,4.21,raft_things_original_param.pth
EPEv_sum_msk,0.12,0.41,3.14,raft_things_original_param.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_things_original_param.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_things_original_param.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
Iv_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
Iu_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
