,0,5,20,model
thresholds,0.0,5.0,20.0,raft_things_original_param.pth
px_count,255401889.0,126195945.0,83171190.0,raft_things_original_param.pth
EPE_sum_msk,0.39,1.84,11.68,raft_things_original_param.pth
EPEu_sum_msk,0.28,1.44,8.41,raft_things_original_param.pth
EPEv_sum_msk,0.2,0.77,6.29,raft_things_original_param.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_things_original_param.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_things_original_param.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
Iv_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
Iu_sum_m1_msk,0.0,0.0,0.0,raft_things_original_param.pth
