,0,5,20,model
thresholds,0.0,5.0,20.0,raft_things_original_param.pth_ev
px_count,255401889.0,126195945.0,83171190.0,raft_things_original_param.pth_ev
EPE_sum_msk,0.39,1.81,11.87,raft_things_original_param.pth_ev
EPEu_sum_msk,0.29,1.4,8.58,raft_things_original_param.pth_ev
EPEv_sum_msk,0.2,0.8,6.35,raft_things_original_param.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,raft_things_original_param.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft_things_original_param.pth_ev
I_L2_sum_m1_msk,0.26,1.15,5.64,raft_things_original_param.pth_ev
Iv_sum_m1_msk,0.14,0.49,2.99,raft_things_original_param.pth_ev
Iu_sum_m1_msk,0.19,0.89,4.02,raft_things_original_param.pth_ev
