model,EPE,EPE_180,EPE_u,EPE_v,cos_sim,spatium,G_mag_u,G_mag_v,G_mag_L2,Iu_m1,Iv_m1,I_L2_m1
RAFT_chairs_no_mirror.pth_ev,2.2476565602068197,2.28739940151608,1.5374994876487655,1.3071091761749942,12.534610948347336,1.894995629705138,10.074996191485786,6.659771663579628,13.495708286833809,0.984957083567662,0.9222687549323674,1.4956623604726924
RAFT_chairs_no_mirror.pth,2.1319775742896465,2.1319775742896465,1.44828293721239,1.2437993472926927,11.74664250915149,1.7374068836473093,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft-chairs-original-retrained.pth_ev,2.190082758790335,2.174649905391918,1.5056626301752645,1.260736966682786,12.83650872655263,1.8712463823597123,10.074996191485786,6.659771663579628,13.495708286833809,0.792896665634514,0.7481376301912335,1.219109569374726
raft-chairs-original-retrained.pth,2.1002722596794396,2.1002722596794396,1.4399229092693437,1.2105859029755413,12.335022604688787,1.7163668838083586,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft_mir_batch_8.pth_ev,2.2544111230470576,2.3210600655522344,1.5404891007392882,1.302717409312267,12.992606913121588,1.9505199532281325,10.074996191485786,6.659771663579628,13.495708286833809,0.77391568536617,0.7857226358921653,1.2362319480244868
raft_mir_batch_8.pth,2.201914384519175,2.201914384519175,1.4979839259096557,1.2792935534689027,12.545262398081944,1.8366518153144291,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft_things_mir_batch5.pth_ev,1.4315717175395355,1.396077224317362,1.0373074577174772,0.7418332093258413,9.514306679067419,1.1708525674100911,10.074996191485786,6.659771663579628,13.495708286833809,0.5585691493315896,0.41286307133691286,0.785571079511521
raft_things_mir_batch5.pth,1.3622696832480852,1.3622696832480852,0.9845285268731265,0.7126569772384324,9.139730368779325,1.1180224731550208,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft_things_original_param.pth_ev,1.5829455089199784,1.4371761477030778,1.181566910043459,0.7606287447755349,9.56277918947304,1.1883657546740787,10.074996191485786,6.659771663579628,13.495708286833809,0.7100077577285991,0.43640913567027145,0.9461799929639563
raft_things_original_param.pth,1.4533188308658047,1.4533188308658047,1.0634062317442452,0.7408996147589398,9.240307312333504,1.1479778792583861,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev,1.538802484753582,1.5214302739044374,1.1417732077519214,0.7540640061440288,9.57073173336291,1.1520284781917771,10.074996191485786,6.659771663579628,13.495708286833809,0.8757853492035188,0.46881937474463276,1.1249388722375422
things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth,1.3533936271964644,1.3533936271964644,0.9676182160438481,0.7271572404346938,9.265203859846713,1.0831452398565415,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
