,0,5,20,model
thresholds,0.0,5.0,20.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
px_count,255401889.0,126195945.0,83171190.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
EPE_sum_msk,0.23,0.83,5.61,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
EPEu_sum_msk,0.16,0.6,4.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
EPEv_sum_msk,0.12,0.42,3.05,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
Iv_sum_m1_msk,0.0,0.0,0.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
Iu_sum_m1_msk,0.0,0.0,0.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
