,0,5,20,model
thresholds,0.0,5.0,20.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
px_count,255401889.0,126195945.0,83171190.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
EPE_sum_msk,0.38,1.55,11.57,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
EPEu_sum_msk,0.27,1.14,8.25,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
EPEv_sum_msk,0.2,0.77,6.27,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
Iv_sum_m1_msk,0.0,0.0,0.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
Iu_sum_m1_msk,0.0,0.0,0.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth
