,0,5,20,model
thresholds,0.0,5.0,20.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
px_count,255401889.0,126195945.0,83171190.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
EPE_sum_msk,0.37,1.5,12.23,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
EPEu_sum_msk,0.26,1.09,8.74,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
EPEv_sum_msk,0.2,0.78,6.59,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
G_mag_L2_masked_sum,1.65,10.45,54.51,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
I_L2_sum_m1_msk,0.26,1.02,5.8,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
Iv_sum_m1_msk,0.14,0.51,3.0,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
Iu_sum_m1_msk,0.19,0.74,4.18,things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev
